,Title,Department,Details,Amount,State,City,Date
0,"Donate your kidney for money urgently today, We are ready to pay…",Others,"Donate your kidney  for money urgently today, We are ready to pay 4 Cr for one kidney because we need kidney  to save life urgently, Contact us if you...","3,00,00,00,000", Karnataka,Bangalore,"March 26, 2020"
1,Passport Verification ,Verification and Certificates,"Pattinattom police station
Officer name Sainudheen...",150, Kerala,Ernakulam,"March 26, 2020"
2,Bribe for chai pani,FIR and Complaints,"A police officer came sitting in his vehicle MH01.2815 IN BAIGANWADI GOVANDI 
AND ASKED FOR CHAI PANI TO GIVE 
I DENIED HIM TO GIVE 
HE DIRECTLY SLAP ...","5,000", Maharashtra,Mumbai,"March 23, 2020"
3,Bribe from bar owners,Autorickshaws,"Vinod kumar, who is working as sub inspector in manapparai. He is receving bribe from public especially from the bar owners and for complaints.around1...","1,00,000", Kerala,Tiruchirapalli,"March 21, 2020"
4,TRANSFER ONE STATE TO OTHER,Others,He is in ministry of finance. 2019 in January i give the money to transfer one state other state.his name is Jai barwa. he is posted in delhi ...,"2,50,000", Delhi,New Delhi,"March 20, 2020"
5,Building construction permission ,Building and Housing,"The engineer came today morning for taking photo of plot for which I have applied for permission , and he denied to take photo without the money. And ...","2,500", Madhya Pradesh,Rewa,"March 19, 2020"
6,Natural Glass Tumblers from Oaxaca Large at Hardworkingproducts.com,Others,"Wholesale online best, cheap and beautiful handcrafted drinking glasses or wine glasses made from recycled glass and every large tumbler is handcrafte...","1,200", Delhi,New Delhi,"March 17, 2020"
7,Fine for wearing music player while driving two wheeler,"Traffic Fines, Penalties, Rules",I was traveling from  Guindy to Koyembedu on 16th March Evening 7PM on my two-wheeler. I usually wear a music player to listen to music. That day I wa...,300, Tamil Nadu,Chennai,"March 16, 2020"
8,Bribe for taking left without any sign of ,"Traffic Fines, Penalties, Rules","I was at https://goo.gl/maps/1jp21wj4hXU6ZZaN9  around 1PM its nearby agara lake.
I took left turn on empty road and at 100 meters police was stopping...",300, Karnataka,Bangalore,"March 16, 2020"
9,Ambarnath trafic police taken bribe,Autorickshaws,"This incident happened at Ambarnath ,near police petrol pump Ambarnath west, Dist- thane.
This officer is very corrupt. If u have relative or ur frien...",200, Maharashtra,Thane,"March 16, 2020"
10,No Chalan,"Traffic Fines, Penalties, Rules","Dear Sir, 
     I Purchased A Liquor From Pondy And I Dont Know it Was An Offence. Near By Villupuram Police Has Stopped our Bus And Collected A Fine ...","1,000", Tamil Nadu,Viluppuram,"March 15, 2020"
11,Bribe taken by officer in RTO Bhopal,Tax and Permits,I applied for bus permit with legal documents needed and waited for all the formalities like meeting etc but at last bribe is taken by officer in RTO ...,"30,000", Madhya Pradesh,Bhopal,"March 15, 2020"
12,"Even after paying the legal fees for the license, Rs 500 was taken separately.",Driving Licenses and Tests,"On 12-03-2020, a receipt for Rs 500 was made in the name of an unknown person from me. I had already paid the legal fees for the license under the onl...",500, Rajasthan,Dungarpur,"March 14, 2020"
13,HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT COPRPORATION HSIIDC FARIDABAD,Land Related,"Getting approvals form HSIIDC is impossible unless you pay bribe to Vikas Choudhary who is Assistant General Manager(IA) at HSIIDC Faridabad.

I had a...","1,10,000", Haryana,Faridabad,"March 13, 2020"
14,NO REGISTRY DONE IF YOU DO OT PAY 0.5% OF LAND COST TO HSIIDC OFFICE,Others,"Despite the fact that HSIIDC Haryana has made an online portal for services,however Vikas Choudhary,Estate officer HSIIDC at Faridabad ensures that no...","1,10,000", Haryana,Faridabad,"March 13, 2020"
15,Khata Bifurcation Charges,Encumbrance Certificate,"We live a a multistory apartment consisting of 60 houses. The builder took 35000/- per house in cash to get our Khata Bifurcation done .

Builder Name...","20,00,000", Karnataka,Bangalore,"March 12, 2020"
16,I had to pay a bribe,Verification and Certificates,I met Mr. Lingaraju from the Madivala Police Station to book an appointment for passport verification. He took my documents and scheduled the time and...,500, Karnataka,Bangalore,"March 12, 2020"
17,House Blend Coffee Medium Roast at Hardworkingproducts.com,Others,Get Delicious 100% Arabica Coffee- enjoy a magnificent smooth cup of coffee with our House blend  coffee with full flavor and moderate body. Brewing I...,"1,200", Uttar Pradesh,Adari,"March  9, 2020"
18,Driving other state vehicle without paying road tax,"Traffic Fines, Penalties, Rules","I paid the bribe under kalyan nagar bridge
...",500, Karnataka,Bangalore,"March  7, 2020"
19,Took money without giving report,"Traffic Fines, Penalties, Rules","Took money for pollution check, did not give challan. At nice road junction on Bannerghatta road bangalore...",500, Karnataka,Bangalore,"March  7, 2020"
20,Buy Supercharger Overdrive Pulleys at RBinnovations.com,Others,The overdrive pulleys allow you to adjust the amount of boost your RB Innovations nitro supercharger produces and the stock pulley that comes with eve...,"12,000", Jharkhand,Adityapur,"March  5, 2020"
21,Mini RootGuard Heavy Duty Gopher Wire Baskets For Sale,Others,The one-quart Mini RootGuard Gopher Guard basket (144 pack) is very easy to use and specially designed to protect the roots of small plants and the Mi...,"1,200", Delhi,New Delhi,"March  5, 2020"
22,Bribe for legal heir certificate,Aadhaar Card Process,"Date : 02-03-2020
Time : 16:00
Place : Madalpur Mamlatdaar Office, Madalpur, Paldi, Ahmedabad, Gujarat, India
INR : Rs.7000
Bribe given to : Office be...","7,000", Gujarat,Ahmedabad,"March  3, 2020"
23,Corruption,Change of Tariff in Domestic to Commercial,"We decided to start a SSI, so we need to get INDUSTRIAL POWER SUPPLY. We paid bill amount 15000 for powersupply and extra amount more than 5000 for of...","5,000", Tamil Nadu,Arcot,"March  3, 2020"
24,Owner Tenant Issuse,FIR and Complaints,"I was attacked by unknown persons hired by my    landlord, when refused to vacate the office , because the landlord did not clear my lease amount of 4...","5,000", Karnataka,Bangalore,"March  2, 2020"
25,"I am running restaurant with all legal certificates, police constable demanding bribe 2000rs month ",Registrations and Licenses,"Police constable, area gautam nagar, haridev puri, Yusuf Sarai, new delhi 110049, huaz Khas circle, phone number of consitable  8949957377...","2,000", Bihar,Arwal,"March  1, 2020"
26,"Corruption by PSPCL employees in Sardar Nagar, Ludhiana ",Change of Tariff in Domestic to Commercial,The electricity meter was inside the building and PSPCL employees came to take meter outside the building. After removing meter from inside they black...,"1,000", Punjab,Ludhiana,"March  1, 2020"
27,Inno-Flex Spare Drive Belts at RBinnovations.com,Others,Inno-flex belts are a direct replacement for the belts that come with the RBinnovations.com nitro supercharger and the Inno-flex spare drive belts are...,"1,200", Telangana,Adilabad,"February 27, 2020"
